# Scalar ASCII output created by CarpetIOScalar
# created on kop122.datura.admin by barry on Mar 29 2012 at 02:06:54+0200
# parameter filename: "/lustre/datura/barry/simulations/EinsteinToolkit_Maxwell/bbh/output-0001/bbh.par"
# Build ID: build-sim-login-damiana.damiana.admin-barry-2012.03.28-18.17.23-3129
# Simulation ID: run-bbh-kop122.datura.admin-barry-2012.03.29-00.04.46-28796
# Run ID: run-bbh-kop122.datura.admin-barry-2012.03.29-00.04.46-28796
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics::process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
10112 158 2094 7 1966 0 0 54 1162 823 38 10
10240 160 2094 7 1966 0 0 54 1162 823 38 10
10368 162 2094 7 1966 0 0 54 1162 823 38 10
10496 164 2094 7 1966 0 0 54 1162 823 38 10
10624 166 2094 7 1966 0 0 54 1162 823 38 10
10752 168 2094 7 1966 0 0 54 1162 823 38 10
10880 170 2094 7 1966 0 0 54 1162 823 38 10
11008 172 2094 7 1966 0 0 54 1162 823 38 10
11136 174 2094 7 1966 0 0 54 1162 823 38 10
11264 176 2094 7 1966 0 0 54 1162 823 38 10
11392 178 2094 7 1966 0 0 54 1162 823 38 10
11520 180 2094 7 1966 0 0 54 1162 823 38 10
11648 182 2094 7 1966 0 0 54 1162 823 38 10
11776 184 2094 7 1966 0 0 54 1162 823 38 10
11904 186 2094 7 1966 0 0 54 1162 823 38 10
12032 188 2094 7 1966 0 0 54 1162 823 38 10
12160 190 2094 7 1966 0 0 54 1162 823 38 10
12288 192 2094 7 1966 0 0 54 1162 823 38 10
12416 194 2094 7 1966 0 0 54 1162 823 38 10
12544 196 2094 7 1966 0 0 54 1162 823 38 10
12672 198 2094 7 1966 0 0 54 1162 823 38 10
12800 200 2094 7 1966 0 0 54 1162 823 38 10
12928 202 2094 7 1966 0 0 54 1162 823 38 10
13056 204 2094 7 1966 0 0 54 1162 823 38 10
13184 206 2094 7 1966 0 0 54 1162 823 38 10
13312 208 2094 7 1966 0 0 54 1162 823 38 10
13440 210 2094 7 1966 0 0 54 1162 823 38 10
13568 212 2094 7 1966 0 0 54 1162 823 38 10
13696 214 2094 7 1966 0 0 54 1162 823 38 10
13824 216 2094 7 1966 0 0 54 1162 823 38 10
13952 218 2094 7 1966 0 0 54 1162 823 38 10
14080 220 2094 7 1966 0 0 54 1162 823 38 10
14208 222 2094 7 1966 0 0 54 1162 823 38 10
14336 224 2094 7 1966 0 0 54 1162 823 38 10
14464 226 2094 7 1966 0 0 54 1162 823 38 10
14592 228 2094 7 1966 0 0 54 1162 823 38 10
14720 230 2094 7 1966 0 0 54 1162 823 38 10
14848 232 2094 7 1966 0 0 54 1162 823 38 10
14976 234 2094 7 1966 0 0 54 1162 823 38 10
15104 236 2094 7 1966 0 0 54 1162 823 38 10
15232 238 2094 7 1966 0 0 54 1162 823 38 10
15360 240 2094 7 1966 0 0 54 1162 823 38 10
15488 242 2094 7 1966 0 0 54 1162 823 38 10
15616 244 2094 7 1966 0 0 54 1162 823 38 10
15744 246 2094 7 1966 0 0 54 1162 823 38 10
15872 248 2094 7 1966 0 0 54 1162 823 38 10
16000 250 2094 7 1966 0 0 54 1162 823 38 10
16128 252 2094 7 1966 0 0 54 1162 823 38 10
16256 254 2094 7 1966 0 0 54 1162 823 38 10
16384 256 2094 7 1966 0 0 54 1162 823 38 10
16512 258 2094 7 1966 0 0 54 1162 823 38 10
16640 260 2094 7 1966 0 0 54 1162 823 38 10
16768 262 2094 7 1966 0 0 54 1162 823 38 10
16896 264 2094 7 1966 0 0 54 1162 823 38 10
17024 266 2094 7 1966 0 0 54 1162 823 38 10
17152 268 2094 7 1966 0 0 54 1162 823 38 10
17280 270 2094 7 1966 0 0 54 1162 823 38 10
17408 272 2094 7 1966 0 0 54 1162 823 38 10
17536 274 2094 7 1966 0 0 54 1163 823 38 10
17664 276 2094 7 1966 0 0 54 1163 823 38 10
17792 278 2094 7 1966 0 0 54 1163 823 38 10
17920 280 2094 7 1966 0 0 54 1163 823 38 10
18048 282 2094 7 1966 0 0 54 1163 823 38 10
18176 284 2094 7 1966 0 0 54 1163 823 38 10
18304 286 2094 7 1966 0 0 54 1163 823 38 10
18432 288 2094 7 1966 0 0 54 1163 823 38 10
18560 290 2094 7 1966 0 0 54 1163 823 38 10
18688 292 2094 7 1966 0 0 54 1163 823 38 10
18816 294 2094 7 1966 0 0 54 1163 823 38 10
18944 296 2094 7 1966 0 0 54 1163 823 38 10
19072 298 2094 7 1966 0 0 54 1163 823 38 10
19200 300 2094 7 1966 0 0 54 1163 823 38 10
